asset_id,material,service_type,diameter_mm,initial_thickness_mm,install_year,environment_severity,actual_total_loss_mm,expected_loss_physics_mm,residual_loss_mm,early_slope_mm_per_month,late_slope_mm_per_month,accel_ratio,pressure_mean,pressure_std,flow_mean,flow_std,temperature_mean,temperature_std,vibration_mean,vibration_std,n_sensor_glitches,is_anomalous_label,anomaly_onset_month,wall_loss_pct,remaining_strength_factor,b31g_severity_class,rf_severity_proba,iso_max_anomaly_score,risk_score
AST-0116,Low Alloy Steel,Sweet/Dry,508,11.62,1979,0.226,0.356,0.6,-0.244,0.00989,0.00989,1.0,51.78694444444445,2.787184774688246,300.9783333333333,20.26784384895725,57.83972222222222,3.340253614076213,2.746916666666666,0.053667960646926,0,False,-1,3.28,0.9881,Safe,0.14223683524557235,0.3626622840224047,9.5
AST-0129,Carbon Steel - Uncoated,Mixed,324,10.03,1986,0.482,0.875,1.35,-0.475,0.02428,0.02433,1.002,67.42888888888889,2.189272257137749,765.888611111111,19.666104727645735,29.74388888888889,3.411090548513588,1.5037777777777777,0.0494975388196862,0,False,-1,8.78,0.9399,Safe,0.12778876295164676,0.3397458457098158,9.4
AST-0094,Carbon Steel - Uncoated,Sour/Wet,610,7.19,2011,0.359,1.185,1.95,-0.765,0.03511,0.03072,0.875,71.72999999999998,2.686618692706502,241.32888888888888,17.497660052178045,35.13472222222222,3.394479961105856,1.0842222222222224,0.0622809813259283,0,False,-1,16.82,0.9268,Safe,0.1254757138291974,0.3316723302401758,9.3
AST-0112,Carbon Steel - Uncoated,Mixed,324,9.79,1996,0.691,0.845,1.35,-0.505,0.02278,0.02417,1.061,65.5725,2.626240523203137,662.7966666666666,103.29081986590786,49.67555555555555,3.623125284253475,1.0875,0.0675169819907766,1,False,-1,8.87,0.9426,Safe,0.0414153819122499,0.4408994841555285,9.3
AST-0098,Carbon Steel - Uncoated,Sweet/Dry,406,6.95,2008,0.611,0.291,0.9,-0.609,0.00911,0.00706,0.774,55.23027777777778,3.0673576214353906,633.0386111111111,95.4095462774717,30.77555555555556,3.463036194228943,2.0419722222222223,0.0419594948295282,1,False,-1,4.13,0.9826,Safe,0.05867554135889812,0.4433170921473999,9.0
AST-0123,Carbon Steel - Uncoated,Sweet/Dry,508,11.01,1991,0.084,0.752,0.9,-0.148,0.01972,0.02206,1.118,70.36027777777777,9.176381324157644,224.16277777777776,35.75509407152346,48.650277777777774,3.7718532664317768,1.9456111111111112,0.3749308719352925,2,False,-1,6.88,0.9751,Safe,0.054574175004730066,0.4411463646719625,8.9
AST-0033,Carbon Steel - Uncoated,Sour/Wet,324,12.7,2016,0.085,0.971,1.95,-0.979,0.02733,0.02661,0.974,89.22027777777778,2.375946711897762,537.9669444444445,17.500386088711533,18.689722222222223,3.6062528919412906,0.7556944444444444,0.0554909616550013,0,False,-1,7.8,0.9623,Safe,0.10123675274872217,0.3783881213800452,8.9
AST-0105,Carbon Steel - Coated,Sweet/Dry,168,9.29,1988,0.319,0.183,0.36,-0.177,0.00622,0.00394,0.634,77.13194444444444,2.1542805487075443,791.3283333333334,18.92581736298709,59.35722222222223,3.507007361686119,1.7221944444444444,0.044975434211797,0,False,-1,2.09,0.9864,Safe,0.15554478395660995,0.3308778450045833,8.8
AST-0046,Carbon Steel - Coated,Sweet/Dry,273,11.25,1978,0.865,0.305,0.36,-0.055,0.00861,0.00833,0.968,65.17444444444445,2.6486119755119657,264.59083333333336,45.55813544253102,34.07388888888889,3.358746601063964,1.88275,0.0386651374902877,1,False,-1,2.84,0.9807,Safe,0.11563811441004253,0.3669524164199652,8.5
AST-0052,Carbon Steel - Uncoated,Mixed,406,7.91,1995,0.901,0.505,1.35,-0.845,0.01211,0.01594,1.317,68.02833333333334,2.659135734997907,273.35916666666674,17.78663260107754,44.53444444444445,3.83493523465107,2.5925,0.0472540247718948,0,False,-1,6.35,0.9592,Safe,0.1324799934246911,0.3283168365041888,8.4
AST-0029,Carbon Steel - Uncoated,Mixed,324,6.88,1992,0.578,0.683,1.35,-0.667,0.01656,0.02139,1.292,41.48333333333333,2.7140102115820097,229.2211111111111,18.149243790272088,26.546388888888888,3.839360179418127,0.7541944444444444,0.0471270740775524,0,False,-1,10.13,0.9385,Safe,0.1235286575311761,0.3212007983989616,8.3
AST-0121,Carbon Steel - Coated,Sweet/Dry,168,10.39,2002,0.537,0.381,0.36,0.021,0.01439,0.00678,0.471,51.14111111111112,2.724310426802956,795.6727777777778,15.247474097344986,50.33861111111111,3.3360217135108505,2.671666666666667,0.0468120863514052,0,False,-1,3.9,0.9736,Safe,0.13980167824163217,0.3286423029478969,8.3
AST-0003,Low Alloy Steel,Sweet/Dry,508,9.5,1996,0.908,0.305,0.6,-0.295,0.00867,0.00828,0.955,72.95138888888889,15.599892518453506,465.3494444444444,18.55726826332005,34.70861111111111,3.594859943846633,0.8069166666666666,0.2426584165918362,1,False,-1,3.42,0.9819,Safe,0.025865588168179195,0.4669812824264417,8.3
AST-0009,Carbon Steel - Uncoated,Sour/Wet,610,9.83,1993,0.746,0.916,1.95,-1.034,0.02694,0.02394,0.889,64.64027777777778,2.2141047673122696,474.7027777777778,73.631188679453,15.851666666666668,4.21645518009077,2.923138888888889,0.0378509503770307,1,False,-1,9.47,0.9508,Safe,0.060999879286005254,0.3995279641643591,8.2
AST-0027,Carbon Steel - Uncoated,Sweet/Dry,273,13.35,2005,0.804,0.321,0.9,-0.579,0.00933,0.0085,0.911,46.285555555555554,6.412122645848006,309.7205555555556,51.42867026665988,27.740555555555552,3.681988550028324,1.8933888888888888,0.4405870938890372,2,False,-1,2.41,0.9916,Safe,0.009966881834463719,0.4887604119204764,8.1
AST-0063,Carbon Steel - Coated,Sweet/Dry,168,10.04,1983,0.228,0.143,0.36,-0.217,0.005,0.00294,0.589,65.56083333333335,2.175765710863978,420.5875,69.23932798118217,28.12805555555556,3.568160646162865,0.5244166666666666,0.0404491744574065,1,False,-1,1.57,0.991,Safe,0.07945687916679495,0.4047379046063176,8.0
AST-0012,Low Alloy Steel,Mixed,324,11.74,2004,0.671,1.007,0.9,0.107,0.02694,0.029,1.076,65.94666666666666,2.373857619993246,317.4847222222222,16.092149902734047,18.416388888888893,3.4557415187546137,1.0701666666666665,0.0387117553205741,0,False,-1,8.78,0.9594,Safe,0.113541377461962,0.3346179942077486,7.7
AST-0086,Carbon Steel - Uncoated,Mixed,508,10.58,1977,0.376,1.027,1.35,-0.323,0.02744,0.02961,1.079,40.200833333333335,2.250974868172201,674.9277777777777,14.824535090009425,39.22805555555555,3.783981893224909,2.865833333333333,0.0500773687122522,0,False,-1,9.98,0.9482,Safe,0.10053961852544815,0.3364890813543104,7.5
AST-0077,Carbon Steel - Uncoated,Sweet/Dry,406,13.07,2011,0.92,0.937,0.9,0.037,0.02828,0.02378,0.841,89.04055555555557,2.528837049988952,211.8727777777778,18.888208205289065,20.947777777777773,4.025072216644857,2.6843611111111114,0.0443558034713306,0,False,-1,7.35,0.96,Safe,0.05838486386223117,0.3957523724425421,7.5
AST-0144,Carbon Steel - Coated,Sweet/Dry,219,6.12,2005,0.051,0.265,0.36,-0.095,0.00883,0.00589,0.667,53.68861111111111,2.2951279488488874,383.1783333333333,16.692841151651983,51.18305555555556,3.6392548840540297,0.7810555555555555,0.0523504369988279,0,False,-1,4.49,0.9677,Safe,0.12342902542971414,0.3233292582149918,7.4
AST-0147,Carbon Steel - Uncoated,Mixed,324,8.98,2005,0.366,0.376,1.35,-0.974,0.01083,0.01006,0.928,64.82472222222222,2.85254721870132,714.8955555555555,103.32915142382744,39.32861111111112,3.847941306931189,1.8252777777777776,0.0438859633342801,1,False,-1,4.45,0.976,Safe,0.012795737844440143,0.4531637811225301,7.2
AST-0093,Carbon Steel - Uncoated,Sweet/Dry,610,13.52,2015,0.273,0.694,0.9,-0.206,0.01922,0.01933,1.006,65.97138888888891,2.2550884085017016,303.69499999999994,46.26661638188568,36.016666666666666,3.625598669776581,2.352444444444444,0.048461144638592,1,False,-1,5.42,0.9794,Safe,0.08169252241610347,0.3750266232573964,7.1
AST-0126,Carbon Steel - Uncoated,Sweet/Dry,168,11.89,1989,0.089,0.422,0.9,-0.478,0.01294,0.0105,0.811,82.15305555555555,2.504326335928567,298.6738888888889,47.595640453288695,56.532222222222224,3.4959405937344865,2.057388888888889,0.0554613264370653,1,False,-1,3.66,0.9748,Safe,0.08252720898743324,0.3674124042035307,7.0
AST-0006,Low Alloy Steel,Sour/Wet,324,10.42,2017,0.793,1.165,1.35,-0.185,0.03867,0.02606,0.674,81.03888888888889,2.838518504711093,743.693888888889,16.750972385894972,54.61138888888888,3.855039857327976,2.974416666666668,0.0429380783387958,0,False,-1,11.67,0.9237,Safe,0.07723669593646633,0.3349177942425317,7.0
AST-0145,Carbon Steel - Uncoated,Mixed,508,12.62,1997,0.533,0.289,1.35,-1.061,0.00928,0.00678,0.731,53.84888888888889,11.41650679067758,419.1858333333333,19.721623140241636,50.93611111111112,3.764392781827238,1.3498611111111112,0.6504066926723739,2,False,-1,2.34,0.9889,Safe,0.010775026084510027,0.4589647459408076,6.9
AST-0053,Carbon Steel - Coated,Sour/Wet,219,12.8,2014,0.688,0.842,0.78,0.062,0.02517,0.02161,0.859,67.96611111111112,2.531685240848505,327.8694444444444,15.893124469305125,18.980277777777776,3.4576271682934,1.613138888888889,0.0487870900826249,0,False,-1,6.9,0.9631,Safe,0.09121358008382954,0.3472451239089958,6.9
AST-0059,Carbon Steel - Uncoated,Sweet/Dry,168,12.7,2015,0.611,0.62,0.9,-0.28,0.01678,0.01767,1.053,62.46666666666667,6.4135272220963895,426.9752777777778,16.529971477999958,39.23972222222222,3.6258583110849054,2.043833333333333,0.3941266293972027,1,False,-1,5.2,0.9632,Safe,0.042793618903792276,0.4005723065369819,6.8
AST-0075,Carbon Steel - Uncoated,Sweet/Dry,406,10.93,2011,0.615,0.53,0.9,-0.37,0.01633,0.01311,0.803,55.29249999999999,8.15199760794862,585.1725000000001,15.083481101617672,58.125,3.775877948996007,0.6507499999999999,0.191133517281955,1,False,-1,4.99,0.9744,Safe,0.05411372843106849,0.393155366599845,6.7
AST-0040,Carbon Steel - Coated,Sweet/Dry,610,6.23,1981,0.872,0.259,0.36,-0.101,0.00694,0.00744,1.072,65.42805555555555,6.611582399501409,533.916388888889,16.22159004938045,48.69277777777778,3.7334714685329,1.8291666666666664,0.3651304659198642,1,False,-1,4.14,0.977,Safe,0.03921999238881519,0.4104945382798192,6.6
AST-0085,Carbon Steel - Uncoated,Mixed,219,11.09,2001,0.653,0.264,1.35,-1.086,0.00667,0.008,1.2,79.87611111111111,2.625575613382197,258.9230555555556,19.536419882501416,41.99361111111111,3.428551674876956,1.7745833333333334,0.0482543114283954,0,False,-1,2.52,0.9883,Safe,0.11472031435897942,0.3299258886212291,6.5
AST-0109,Carbon Steel - Uncoated,Sweet/Dry,324,8.54,1991,0.466,0.814,0.9,-0.086,0.02517,0.02006,0.797,51.33194444444445,2.4248685613209093,733.8883333333333,16.02244951845468,58.16972222222223,3.769273128951379,1.1136944444444443,0.0541119577196572,0,False,-1,9.84,0.9492,Safe,0.0810564311228039,0.3396976955738753,6.5
AST-0064,Carbon Steel - Coated,Mixed,219,11.96,1987,0.131,0.063,0.54,-0.477,0.00156,0.00194,1.25,43.2075,2.566764917723697,476.31444444444446,16.898589196302655,24.55555555555556,3.6113499212854254,2.9254166666666666,0.0416847865362344,0,False,-1,0.5,0.9972,Safe,0.08259446592282953,0.3727297099693239,6.5
AST-0118,Carbon Steel - Coated,Sweet/Dry,324,11.22,1992,0.147,0.262,0.36,-0.098,0.00828,0.00628,0.758,64.6086111111111,11.241231033953984,361.7291666666666,16.21234051579228,35.81138888888889,3.5787341359582747,1.575861111111111,0.2660659588230791,1,False,-1,2.42,0.9892,Safe,0.0359526299728909,0.4214637015190251,6.5
AST-0024,Low Alloy Steel,Mixed,273,9.67,1997,0.492,0.688,0.9,-0.212,0.01922,0.019,0.988,70.47083333333335,2.6231206878176887,515.5597222222221,17.543511863137997,35.549166666666665,3.704507968099716,2.278083333333333,0.0501536923580194,0,False,-1,7.33,0.949,Safe,0.02337598521591091,0.4007876610244311,6.3
AST-0062,Carbon Steel - Uncoated,Sour/Wet,508,7.0,1985,0.892,0.883,1.95,-1.067,0.0255,0.02356,0.924,69.40972222222221,2.2748720354731544,756.2349999999999,19.10161705944588,31.64277777777778,3.66084425166117,1.8512500000000005,0.0521801138913502,0,False,-1,12.9,0.9161,Safe,0.05739704750840659,0.3373470512835185,6.3
AST-0058,Carbon Steel - Coated,Sour/Wet,406,11.58,2014,0.334,0.349,0.78,-0.431,0.00978,0.00961,0.983,78.62500000000001,2.521685943966852,672.7652777777779,18.92650424082002,59.11305555555556,3.8691097679990167,2.0443611111111117,0.0435070784242734,0,False,-1,3.1,0.9865,Safe,0.05864478708733306,0.380550038347494,5.9
AST-0080,Carbon Steel - Coated,Sweet/Dry,610,6.73,2002,0.397,0.105,0.36,-0.255,0.00361,0.00222,0.615,75.07305555555554,2.0874260560993627,309.71722222222223,20.25081904673221,42.172777777777775,3.680980933789338,1.1363055555555552,0.0546567572319389,0,False,-1,1.58,0.992,Safe,0.07282214537515472,0.365683064946559,5.8
AST-0113,Carbon Steel - Uncoated,Sweet/Dry,508,7.8,2011,0.824,0.838,0.9,-0.062,0.02339,0.02317,0.99,70.98027777777776,2.9588110412423743,493.6486111111112,18.239199881069,21.076666666666668,3.726206803554674,3.054305555555556,0.0491893248839591,0,False,-1,11.0,0.9299,Safe,0.03930209294162857,0.3561684934875969,5.7
AST-0141,Carbon Steel - Uncoated,Mixed,508,7.38,1992,0.052,0.124,1.35,-1.226,0.00294,0.00394,1.34,77.06416666666667,2.454585650224028,731.2419444444445,15.00183166329926,21.08944444444444,3.674736098936276,2.313388888888889,0.0549442719113923,0,False,-1,2.09,0.9917,Safe,0.0926632119144552,0.3356083889978127,5.5
AST-0133,Carbon Steel - Coated,Sweet/Dry,610,12.7,2004,0.156,0.32,0.36,-0.04,0.008,0.00978,1.222,49.35055555555556,2.513027706565977,284.5636111111112,18.507377703079506,43.14361111111111,3.768074273439781,1.119444444444445,0.0643003863327405,0,True,26,2.54,0.9975,Safe,0.07088385843315828,0.3647861803256846,5.4
AST-0081,Carbon Steel - Coated,Sweet/Dry,508,7.47,1992,0.114,0.378,0.36,0.018,0.01022,0.01078,1.054,70.99055555555557,2.4236724725028864,732.031388888889,15.970405156821029,53.27305555555556,3.625215516308312,1.1169444444444443,0.053280896841682,0,False,-1,5.13,0.9747,Safe,0.08774186468099533,0.3229723706554152,5.2
AST-0031,Carbon Steel - Coated,Mixed,508,13.03,2014,0.928,0.253,0.54,-0.287,0.00778,0.00628,0.807,67.08944444444445,2.300353941020436,237.29527777777776,18.523975581640304,57.56361111111111,3.8582647119270574,2.77075,0.0389991758154671,0,False,-1,1.88,0.9931,Safe,0.09943731000630225,0.3215276268719003,5.1
AST-0136,Carbon Steel - Uncoated,Sweet/Dry,406,6.58,1988,0.713,0.874,0.9,-0.026,0.02456,0.024,0.977,66.19250000000001,2.896832136761022,201.7497222222222,57.17717763914007,37.95305555555555,3.86004945893143,1.0988611111111108,0.0426367733821925,3,False,-1,13.4,0.9066,Safe,0.03193916766135834,0.334765225707434,5.1
AST-0131,Carbon Steel - Uncoated,Sweet/Dry,508,12.4,2001,0.347,0.55,0.9,-0.35,0.01372,0.01683,1.227,73.36194444444442,2.387446716766015,613.371388888889,17.968857846329218,16.96722222222222,3.593186099996262,1.575472222222222,0.0381975961181636,0,False,-1,4.44,0.9737,Safe,0.06832487544842702,0.341218027405016,5.0
AST-0070,Carbon Steel - Uncoated,Sweet/Dry,168,8.17,1996,0.438,0.419,0.9,-0.481,0.01028,0.013,1.265,48.26805555555556,2.719070029513184,311.7683333333334,16.25748662704575,29.982222222222227,3.782953578591439,1.2403888888888892,0.0535986555150021,0,False,-1,5.08,0.9646,Safe,0.06307131651451159,0.3352388147717174,4.8
AST-0127,Carbon Steel - Uncoated,Sweet/Dry,508,13.09,1988,0.284,0.966,0.9,0.066,0.02828,0.02539,0.898,57.35138888888889,2.885671155186089,720.9094444444446,17.47953872298276,15.8025,3.65247029908722,2.8663055555555554,0.0472167158320891,0,False,-1,7.46,0.9571,Safe,0.061798369027712026,0.3221963564173373,4.4
AST-0122,Carbon Steel - Coated,Sweet/Dry,610,9.45,2002,0.461,0.329,0.36,-0.031,0.01156,0.00672,0.582,65.69916666666667,2.3084359268932344,411.4677777777778,17.41177485186572,40.49333333333333,3.766778843673048,2.227472222222223,0.0570756320839093,0,False,-1,3.48,0.9789,Safe,0.0691510693779481,0.3293628607985475,4.4
AST-0036,Carbon Steel - Uncoated,Sour/Wet,406,11.33,2011,0.154,0.933,1.95,-1.017,0.02772,0.02411,0.87,77.14944444444444,2.818385499784731,506.87472222222215,16.17594165704314,23.17,3.499141935634262,1.9106944444444445,0.0490567132114567,0,False,-1,8.4,0.9444,Safe,0.04636686623701302,0.326017213851823,4.2
AST-0034,Carbon Steel - Uncoated,Sweet/Dry,273,6.85,1998,0.404,0.861,0.9,-0.039,0.02661,0.02122,0.797,49.00388888888889,3.224444384277947,282.8466666666667,22.078656662034494,31.44944444444444,3.96989596441191,1.6165277777777778,0.055464524626679,0,False,-1,12.98,0.9105,Safe,0.023743823065050157,0.3237966084390686,4.1
AST-0076,Carbon Steel - Uncoated,Mixed,508,6.34,2011,0.423,0.612,1.35,-0.738,0.01694,0.01706,1.007,69.1222222222222,2.454863523830789,623.963888888889,15.47819042169203,26.26972222222222,3.71468628639744,1.2577222222222224,0.0580775890443667,0,False,-1,10.19,0.9577,Safe,0.01428811636343058,0.3688794248750623,4.0
AST-0001,Carbon Steel - Coated,Mixed,406,7.18,1996,0.504,0.129,0.54,-0.411,0.00433,0.00283,0.654,59.42166666666666,2.6839837129588875,253.56666666666663,16.48924792532567,18.596666666666664,4.01933825399157,2.496166666666667,0.0521478666869508,0,False,-1,1.77,0.9897,Safe,0.011539195240635661,0.3969923756899567,4.0
AST-0025,Carbon Steel - Coated,Sweet/Dry,406,9.54,1995,0.979,0.205,0.36,-0.155,0.00778,0.00361,0.464,58.12555555555556,2.6253385571545897,336.2663888888889,77.57793214025965,57.54555555555555,3.857088053696499,1.9926111111111109,0.051869218935857,2,False,-1,2.19,0.9857,Safe,0.05462620522531891,0.3407196661036837,3.9
AST-0138,Carbon Steel - Uncoated,Sweet/Dry,273,6.44,2000,0.337,0.511,0.9,-0.389,0.01594,0.01244,0.78,82.84722222222223,2.4918800832316035,309.32888888888897,15.531964235597275,50.47527777777778,3.9519127275724615,2.079388888888889,0.0603169143667856,0,False,-1,8.26,0.9437,Safe,0.014177105531147285,0.3495998568656194,3.6
AST-0128,Carbon Steel - Uncoated,Sour/Wet,168,13.37,1983,0.112,0.892,1.95,-1.058,0.02811,0.02144,0.763,73.51166666666667,2.553009988229581,690.6174999999998,16.807443312838686,27.532222222222224,3.8793777933441937,2.136055555555556,0.0571818874641984,0,False,-1,7.08,0.9621,Safe,0.03715229274733052,0.337160290030022,3.6
AST-0044,Carbon Steel - Uncoated,Mixed,324,7.59,1991,0.273,0.504,1.35,-0.846,0.017,0.011,0.647,51.591111111111104,2.7950719671570723,412.3683333333333,17.370393448952978,37.17444444444445,3.7111257009503142,1.203638888888889,0.0544007104878907,0,False,-1,6.92,0.9633,Safe,0.009089838165494368,0.3712520181608202,3.6
AST-0011,Carbon Steel - Uncoated,Sweet/Dry,508,13.89,2008,0.575,0.977,0.9,0.077,0.03117,0.02311,0.742,55.70222222222222,2.4906145094977337,316.0425,16.75928763828753,18.495555555555555,3.5115698113069804,1.8375833333333336,0.0454711054249996,0,False,-1,7.11,0.9637,Safe,0.04470555361751525,0.3273037779453401,3.5
AST-0026,Carbon Steel - Uncoated,Sweet/Dry,219,8.42,1982,0.441,0.4,0.9,-0.5,0.01111,0.01111,1.0,75.43027777777777,2.852140535618931,617.4683333333332,16.091954777820757,31.931944444444444,3.524418346697748,1.4148055555555556,0.0413672192127634,0,False,-1,4.9,0.9669,Safe,0.03001351707724546,0.3461875040579177,3.5
AST-0071,Carbon Steel - Uncoated,Sweet/Dry,610,11.68,1975,0.18,0.394,0.9,-0.506,0.01139,0.0105,0.922,77.51222222222223,2.661189971327125,326.2933333333333,15.621732115412623,24.908611111111117,3.613809349685317,1.370222222222222,0.0523352441264753,0,False,-1,3.39,0.9837,Safe,0.03746181105315178,0.3468244162612897,3.3
AST-0149,Carbon Steel - Uncoated,Sour/Wet,273,10.81,2009,0.792,1.097,1.95,-0.853,0.03417,0.02678,0.784,58.4825,2.6897396315841213,465.56527777777774,16.509505225105258,18.376944444444447,3.788168663800072,1.4988333333333332,0.044162362773229,0,False,-1,10.4,0.9363,Safe,0.02301004206736732,0.3269310818576557,3.3
AST-0143,Low Alloy Steel,Mixed,406,11.94,1982,0.87,0.995,0.9,0.095,0.02867,0.02661,0.928,65.14861111111111,2.6978024419651296,744.5519444444445,18.7468351339548,41.56527777777777,3.903478658186904,2.3506666666666667,0.0380293120030926,0,False,-1,8.59,0.9571,Safe,0.03753722617887203,0.3272056758167957,3.3
AST-0032,Low Alloy Steel,Mixed,273,8.27,2017,0.831,0.797,0.9,-0.103,0.024,0.02028,0.845,65.40444444444444,2.685963987041252,648.7238888888891,17.744706458591736,39.69722222222222,3.717946138940623,2.440777777777778,0.0449362158182406,0,False,-1,9.98,0.9444,Safe,0.030168796153014075,0.3242449033749465,3.2
AST-0065,Carbon Steel - Coated,Sour/Wet,406,11.04,1983,0.375,0.257,0.78,-0.523,0.01089,0.00339,0.311,40.090277777777786,2.365166845351339,627.0280555555556,14.999078032512438,44.899166666666666,3.711910847913396,2.1958888888888883,0.0470317690671667,0,False,-1,2.36,0.9853,Safe,0.041277399098318734,0.3387534394356338,3.1
AST-0082,Carbon Steel - Uncoated,Sweet/Dry,168,13.84,2003,0.242,0.858,0.9,-0.042,0.02372,0.02394,1.009,71.67722222222223,2.690442991788433,637.0369444444444,18.88026101808741,17.575277777777778,3.7553074716125714,1.0397499999999995,0.0468684328733103,0,False,-1,6.37,0.9612,Safe,0.021863649886551983,0.3404903889917455,3.0
AST-0007,Carbon Steel - Coated,Sweet/Dry,273,13.49,1994,0.873,0.469,0.36,0.109,0.01228,0.01378,1.122,62.10722222222221,2.714129811729836,347.6316666666667,18.746168446607204,23.998888888888885,3.711290709464664,2.0602777777777783,0.0563477017460649,0,False,-1,3.62,0.9782,Safe,0.04267704403636807,0.3278756716964276,2.9
AST-0042,Carbon Steel - Coated,Sweet/Dry,610,7.14,1994,0.811,0.5,0.36,0.14,0.01467,0.01311,0.894,51.78916666666667,2.8920100523437235,759.2044444444444,15.873150815934329,32.47055555555556,3.885761513485168,2.047944444444445,0.0468901113208589,0,False,-1,7.11,0.9698,Safe,0.02886315456710955,0.3351963471431912,2.8
AST-0100,Low Alloy Steel,Sweet/Dry,168,8.22,2011,0.334,0.389,0.6,-0.211,0.01333,0.00828,0.621,73.23027777777777,2.817688501602597,329.6633333333333,14.044120477979384,31.07333333333333,3.7932496433985015,2.1791666666666667,0.0528396496149299,0,False,-1,4.82,0.9672,Safe,0.014914355571144977,0.3426935280993975,2.5
AST-0041,Carbon Steel - Uncoated,Mixed,406,7.93,1996,0.752,0.488,1.35,-0.862,0.01322,0.01389,1.05,78.81861111111112,2.85751055768856,450.8716666666666,17.13454513965449,37.67277777777778,3.728227929199541,1.7437222222222222,0.0568399311908255,0,False,-1,6.44,0.9611,Safe,0.00804899446006037,0.340754734574531,2.2
AST-0078,Carbon Steel - Coated,Sour/Wet,168,11.68,2002,0.522,0.431,0.78,-0.349,0.01467,0.00928,0.633,61.88722222222222,2.69988741681798,671.2163888888889,16.346145050618908,17.165000000000003,3.755624734029898,2.598055555555556,0.0454299740224726,0,False,-1,3.88,0.9737,Safe,0.016543940042237623,0.3309763837737596,1.8
AST-0087,Carbon Steel - Coated,Sweet/Dry,273,7.16,2006,0.449,0.155,0.36,-0.205,0.00556,0.00306,0.55,56.13194444444444,2.706089238782412,546.9772222222223,15.89524162600892,18.53111111111112,3.955034244227965,2.570583333333333,0.0427593765823858,0,False,-1,2.04,0.9863,Safe,0.019293459055399545,0.3365336233779989,1.8
AST-0117,Carbon Steel - Coated,Sweet/Dry,324,11.18,1975,0.584,0.294,0.36,-0.066,0.01078,0.00556,0.515,77.61305555555553,2.5251068655682047,622.455,19.159122780395908,23.131944444444443,3.7627921391620456,1.3028055555555556,0.0501425507610591,0,False,-1,2.66,0.9841,Safe,0.01738924567933666,0.338787758238336,1.8
AST-0091,Carbon Steel - Uncoated,Mixed,610,11.6,2012,0.32,0.668,1.35,-0.682,0.02006,0.01706,0.85,65.42972222222222,2.492571232524028,725.8988888888889,15.981164409172932,26.09138888888889,3.793317547460667,2.529638888888889,0.055980176479984,0,False,-1,5.85,0.9812,Safe,0.02683323292109907,0.3219491272963172,1.7
AST-0130,Carbon Steel - Coated,Mixed,406,10.16,1976,0.54,0.225,0.54,-0.315,0.00856,0.00394,0.461,52.90416666666667,2.691482199192748,623.881388888889,14.820768661920292,38.70611111111111,3.5845001865394828,2.65125,0.0568674524034367,0,False,-1,2.26,0.9867,Safe,0.01408626544507409,0.3244538172243353,0.9
